date,Social Media,Twitter,Big Data,Google Trend,Facebook,Cell Phone,Call Detail Records
2020-01-29,0,0,0,1,0,0,0
2020-01-30,0,0,0,1,0,0,0
2020-01-31,0,0,0,1,0,0,0
2020-02-01,0,0,0,1,0,0,0
2020-02-02,0,0,0,1,0,0,0
2020-02-03,0,0,0,1,0,0,0
2020-02-04,0,0,0,1,0,0,0
2020-02-05,0,0,0,1,0,0,0
2020-02-06,0,0,0,1,0,0,0
2020-02-07,0,0,0,1,0,0,0
2020-02-08,0,0,0,1,0,0,0
2020-02-09,0,0,0,1,0,0,0
2020-02-10,0,0,0,1,0,0,0
2020-02-11,0,0,0,1,0,0,0
2020-02-12,0,0,0,1,0,0,0
2020-02-13,0,0,0,1,0,0,0
2020-02-14,0,0,0,1,0,0,0
2020-02-15,0,0,0,1,0,0,0
2020-02-16,0,0,0,1,0,0,0
2020-02-17,0,0,0,1,0,0,0
2020-02-18,0,0,0,1,0,0,0
2020-02-19,0,0,0,1,0,0,0
2020-02-20,1,0,1,1,0,0,0
2020-02-21,1,0,1,1,0,0,0
2020-02-22,1,0,1,1,0,0,0
2020-02-23,1,0,1,2,0,0,0
2020-02-24,1,0,1,2,0,0,0
2020-02-25,1,0,1,2,0,0,0
2020-02-26,1,0,1,2,0,0,0
2020-02-27,1,0,1,2,0,0,0
2020-02-28,1,0,1,2,0,0,0
2020-02-29,1,0,1,2,0,0,0
2020-03-01,1,0,2,2,0,0,0
2020-03-02,2,0,2,2,1,0,0
2020-03-03,2,0,3,2,1,0,0
2020-03-04,2,0,3,2,1,0,0
2020-03-05,2,0,3,2,1,0,0
2020-03-06,2,0,3,2,1,0,0
2020-03-07,2,0,3,2,1,0,0
2020-03-08,2,0,4,2,1,0,0
2020-03-09,2,0,4,2,1,0,0
2020-03-10,3,1,4,2,1,0,0
2020-03-11,3,1,4,2,1,0,0
2020-03-12,4,1,4,3,1,0,0
2020-03-13,6,2,4,3,1,0,0
2020-03-14,6,2,4,3,1,0,0
2020-03-15,6,2,4,3,1,0,0
2020-03-16,6,2,4,3,1,0,0
2020-03-17,6,2,4,3,1,0,0
2020-03-18,6,2,5,3,1,0,0
2020-03-19,6,2,5,3,1,0,0
2020-03-20,7,2,6,3,1,0,0
2020-03-21,7,2,6,3,1,0,0
2020-03-22,7,2,6,3,1,0,0
2020-03-23,7,3,6,3,1,0,0
2020-03-24,7,4,6,3,1,0,0
2020-03-25,7,4,7,3,1,0,0
2020-03-26,8,5,7,3,1,0,0
2020-03-27,9,6,7,3,1,0,0
2020-03-28,10,7,7,3,1,0,0
2020-03-29,10,7,7,3,1,0,0
2020-03-30,12,8,9,3,1,0,0
2020-03-31,18,10,9,3,1,0,0
2020-04-01,22,11,12,3,1,0,0
2020-04-02,24,11,14,3,1,0,0
2020-04-03,27,13,14,3,1,0,0
2020-04-04,27,13,14,3,1,0,0
2020-04-05,29,13,14,3,1,0,0
2020-04-06,36,16,15,3,2,0,0
2020-04-07,36,20,15,4,3,0,0
2020-04-08,37,23,15,4,3,0,0
2020-04-09,39,24,16,5,3,0,0
2020-04-10,40,24,17,6,3,0,0
2020-04-11,41,27,19,7,5,1,0
2020-04-12,42,27,19,7,5,1,0
2020-04-13,42,28,20,7,5,1,0
